AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1945;BREST-GUIPAVAS;;28.7;1.0;6.0;1009.4;31.6;;brest
1946;BREST-GUIPAVAS;;26.4;-1.0;3.0;1192.6;54.6;;brest
1947;BREST-GUIPAVAS;;29.8;-2.2;15.0;1094.0;47.1;;brest
1948;BREST-GUIPAVAS;;32.2;-2.4;5.0;1130.6;41.0;;brest
1949;BREST-GUIPAVAS;11.8;35.2;5.0;23.0;939.4;47.8;;brest
1950;BREST-GUIPAVAS;10.8;28.8;1.8;2.0;1363.3;42.7;;brest
1951;BREST-GUIPAVAS;10.6;27.6;4.8;3.0;1471.0;39.3;;brest
1952;BREST-GUIPAVAS;10.6;28.4;2.0;7.0;1199.0;38.4;;brest
1953;BREST-GUIPAVAS;10.7;29.0;0.8;2.0;712.1;29.7;10.9;brest
1954;BREST-GUIPAVAS;10.5;26.3;-0.5;1.0;1113.7;31.4;10.6;brest
1955;BREST-GUIPAVAS;10.8;33.7;0.7;14.0;1061.0;38.5;10.6;brest
1956;BREST-GUIPAVAS;9.9;25.7;-2.6;1.0;1099.7;38.4;10.5;brest
1957;BREST-GUIPAVAS;11.1;30.7;4.1;10.0;1122.8;38.5;10.6;brest
1958;BREST-GUIPAVAS;10.7;24.8;1.3;0.0;1268.0;28.8;10.6;brest
1959;BREST-GUIPAVAS;11.6;31.2;2.7;19.0;1380.2;56.7;10.8;brest
1960;BREST-GUIPAVAS;10.9;27.5;2.5;4.0;1593.6;47.8;10.8;brest
1961;BREST-GUIPAVAS;11.2;32.6;1.7;9.0;1209.6;33.3;11.1;brest
1962;BREST-GUIPAVAS;7.6;26.9;0.1;2.0;1174.1;56.4;10.4;brest
1963;BREST-GUIPAVAS;6.0;27.0;-2.4;2.0;1101.0;37.4;9.5;brest
1964;BREST-GUIPAVAS;5.6;27.1;1.9;5.0;860.4;35.7;8.3;brest
1965;BREST-GUIPAVAS;11.0;26.7;2.1;1.0;1281.8;54.8;8.3;brest
1966;BREST-GUIPAVAS;10.0;24.2;-3.0;0.0;1297.2;36.6;8.0;brest
1967;BREST-GUIPAVAS;9.7;26.0;0.4;2.0;1140.2;42.9;8.5;brest
1968;BREST-GUIPAVAS;10.0;28.3;3.0;4.0;1031.8;25.1;9.3;brest
1969;BREST-GUIPAVAS;5.4;29.1;1.7;5.0;1029.7;37.3;9.2;brest
1970;BREST-GUIPAVAS;10.9;27.5;1.2;10.0;983.6;31.2;9.2;brest
1971;BREST-GUIPAVAS;9.5;30.2;2.1;13.0;913.9;32.4;9.1;brest
1972;BREST-GUIPAVAS;9.6;25.2;1.9;2.0;1208.7;33.2;9.1;brest
1973;BREST-GUIPAVAS;;30.7;2.2;13.0;782.0;30.3;;brest
1974;BREST-GUIPAVAS;11.2;28.3;3.8;2.0;1269.1;40.9;;brest
1975;BREST-GUIPAVAS;17.0;32.7;1.7;13.0;886.4;29.4;;brest
1976;BREST-GUIPAVAS;8.6;33.3;1.9;23.0;840.0;30.5;;brest
1977;BREST-GUIPAVAS;10.8;26.7;3.2;4.0;1180.9;51.5;;brest
1978;BREST-GUIPAVAS;10.4;27.7;0.3;2.0;1062.7;35.4;11.6;brest
1979;BREST-GUIPAVAS;6.7;28.2;0.1;4.0;1233.3;41.0;10.7;brest
1980;BREST-GUIPAVAS;10.5;27.8;-0.6;2.0;1137.4;43.6;9.4;brest
1981;BREST-GUIPAVAS;11.0;27.6;3.8;10.0;1222.1;28.6;9.9;brest
1982;BREST-GUIPAVAS;11.2;29.3;1.9;6.0;1462.7;37.8;10.0;brest
1983;BREST-GUIPAVAS;11.3;32.2;1.0;14.0;994.5;27.1;10.1;brest
1984;BREST-GUIPAVAS;11.0;30.2;3.0;15.0;1224.1;33.2;11.0;brest
1985;BREST-GUIPAVAS;10.6;27.9;-0.3;12.0;1096.8;35.5;11.0;brest
1986;BREST-GUIPAVAS;9.9;30.5;-1.1;4.0;1383.3;31.5;10.8;brest
1987;BREST-GUIPAVAS;10.4;26.8;-5.1;6.0;1061.3;49.7;10.6;brest
1988;BREST-GUIPAVAS;11.3;28.5;4.8;3.0;1238.9;38.6;10.6;brest
1989;BREST-GUIPAVAS;12.2;31.7;4.2;27.0;906.5;38.4;10.9;brest
1990;BREST-GUIPAVAS;12.1;34.8;1.8;27.0;1099.8;37.8;11.2;brest
1991;BREST-GUIPAVAS;10.5;28.8;-2.9;9.0;1045.6;47.8;11.3;brest
1992;BREST-GUIPAVAS;11.0;28.3;1.9;9.0;1029.7;33.4;11.4;brest
1993;BREST-GUIPAVAS;10.8;27.9;2.8;5.0;1046.1;37.6;11.3;brest
1994;BREST-GUIPAVAS;11.7;29.3;0.8;6.0;1275.2;39.4;11.2;brest
1995;BREST-GUIPAVAS;11.9;30.7;2.4;25.0;1310.4;39.2;11.2;brest
1996;BREST-GUIPAVAS;10.8;28.4;-0.1;16.0;971.2;45.8;11.2;brest
1997;BREST-GUIPAVAS;11.6;27.0;-1.9;12.0;1052.0;50.6;11.4;brest
1998;BREST-GUIPAVAS;11.8;30.4;1.4;3.0;1367.1;51.6;11.6;brest
1999;BREST-GUIPAVAS;11.9;28.0;4.9;12.0;1528.8;44.6;11.6;brest
2000;BREST-GUIPAVAS;11.4;29.9;4.5;8.0;1532.8;49.0;11.5;brest
2001;BREST-GUIPAVAS;11.3;29.9;3.2;12.0;1302.0;37.8;11.6;brest
2002;BREST-GUIPAVAS;11.7;28.6;3.5;3.0;1346.0;61.2;11.6;brest
2003;BREST-GUIPAVAS;11.1;35.1;0.0;29.0;988.4;42.4;11.5;brest
2004;BREST-GUIPAVAS;11.4;31.4;2.7;7.0;1124.2;72.0;11.4;brest
2005;BREST-GUIPAVAS;12.2;30.7;2.8;10.0;1047.2;48.2;11.5;brest
2006;BREST-GUIPAVAS;11.8;33.7;3.1;17.0;1285.4;54.2;11.6;brest
2007;BREST-GUIPAVAS;11.7;25.2;3.8;2.0;1346.6;41.4;11.6;brest
2008;BREST-GUIPAVAS;11.2;27.9;3.3;2.0;1336.8;46.2;11.7;brest
2009;BREST-GUIPAVAS;11.3;27.6;1.6;6.0;1366.2;43.2;11.6;brest
2010;BREST-GUIPAVAS;10.5;27.1;1.6;6.0;1309.8;45.8;11.3;brest
2011;BREST-GUIPAVAS;12.0;29.9;2.8;12.0;1006.4;82.6;11.3;brest
2012;BREST-GUIPAVAS;11.3;29.6;2.9;11.0;1381.8;74.3;11.3;brest
2013;BREST-GUIPAVAS;11.2;29.4;3.0;13.0;1251.5;49.4;11.3;brest
2014;BREST-GUIPAVAS;12.2;28.3;7.4;17.0;1376.4;43.7;11.4;brest
2015;BREST-GUIPAVAS;11.9;32.7;3.8;7.0;1212.0;31.8;11.7;brest
2016;BREST-GUIPAVAS;11.6;32.4;6.4;11.0;1130.3;43.0;11.6;brest
2017;BREST-GUIPAVAS;11.7;32.6;3.9;14.0;1004.6;38.4;11.7;brest
2018;BREST-GUIPAVAS;11.8;30.3;-0.1;23.0;1165.9;35.9;11.8;brest
2019;BREST-GUIPAVAS;11.8;34.3;5.3;12.0;1387.8;30.3;11.8;brest
2020;BREST-GUIPAVAS;12.2;32.2;6.4;18.0;1361.6;29.8;11.8;brest
2021;BREST-GUIPAVAS;11.6;31.2;0.7;12.0;1043.1;30.6;11.8;brest
2022;BREST-GUIPAVAS;12.5;39.3;2.8;33.0;1066.4;51.4;12.0;brest
2023;BREST-GUIPAVAS;12.5;30.6;5.4;17.0;1332.5;31.3;12.1;brest
2024;BREST-GUIPAVAS;12.0;31.6;1.6;8.0;1437.2;50.5;12.2;brest
2025;BREST-GUIPAVAS;12.3;31.2;3.5;22.0;1253.5;39.7;12.2;brest
1872;PARIS-MONTSOURIS;;34.4;3.1;35.0;0.0;;;paris
1873;PARIS-MONTSOURIS;;37.2;-1.0;45.0;607.2;28.0;;paris
1874;PARIS-MONTSOURIS;;38.4;-5.6;62.0;472.8;22.3;;paris
1875;PARIS-MONTSOURIS;;35.8;-4.4;47.0;562.7;31.3;;paris
1876;PARIS-MONTSOURIS;;36.2;-5.9;59.0;515.9;28.3;;paris
1877;PARIS-MONTSOURIS;;33.6;-1.7;43.0;588.4;19.5;;paris
1878;PARIS-MONTSOURIS;;30.0;-3.3;32.0;675.5;24.4;;paris
1879;PARIS-MONTSOURIS;;32.2;-9.9;17.0;533.7;20.7;;paris
1880;PARIS-MONTSOURIS;;31.8;-5.9;46.0;488.4;27.3;;paris
1881;PARIS-MONTSOURIS;;37.2;-8.0;26.0;521.7;28.6;;paris
1882;PARIS-MONTSOURIS;;31.5;-1.9;20.0;583.8;27.3;;paris
1883;PARIS-MONTSOURIS;;30.3;-0.7;34.0;509.4;14.5;;paris
1884;PARIS-MONTSOURIS;;34.1;-0.2;54.0;418.2;15.3;;paris
1885;PARIS-MONTSOURIS;;32.0;-0.9;38.0;577.6;49.0;;paris
1886;PARIS-MONTSOURIS;;32.8;-1.3;41.0;728.0;45.9;;paris
1887;PARIS-MONTSOURIS;;31.6;-4.4;40.0;479.09999999999997;30.0;;paris
1888;PARIS-MONTSOURIS;;33.1;-4.0;23.0;548.6;18.4;;paris
1889;PARIS-MONTSOURIS;;29.2;-0.9;39.0;544.5;42.3;;paris
1890;PARIS-MONTSOURIS;;31.9;-6.0;20.0;594.4;21.9;;paris
1891;PARIS-MONTSOURIS;;29.6;-6.4;22.0;551.3;21.1;;paris
1892;PARIS-MONTSOURIS;;35.5;-4.5;48.0;613.0;53.9;;paris
1893;PARIS-MONTSOURIS;;35.5;-7.1;52.0;519.6;28.1;;paris
1894;PARIS-MONTSOURIS;;32.1;-8.1;27.0;485.7;24.3;;paris
1895;PARIS-MONTSOURIS;;36.2;-6.7;64.0;469.4;22.4;;paris
1896;PARIS-MONTSOURIS;;33.4;-0.9;37.0;646.2;29.4;;paris
1897;PARIS-MONTSOURIS;;33.5;-2.7;42.0;580.4;21.4;;paris
1898;PARIS-MONTSOURIS;;35.2;0.4;48.0;540.5;27.1;;paris
1899;PARIS-MONTSOURIS;;35.9;-4.4;58.0;533.7;28.0;;paris
1900;PARIS-MONTSOURIS;11.3;38.6;-1.5;52.0;507.70000000000005;28.8;;paris
1901;PARIS-MONTSOURIS;10.2;33.9;-6.3;57.0;554.1;53.0;;paris
1902;PARIS-MONTSOURIS;10.1;33.9;-4.2;35.0;578.7;22.6;;paris
1903;PARIS-MONTSOURIS;10.5;33.5;-3.7;28.0;626.1;45.5;;paris
1904;PARIS-MONTSOURIS;10.7;37.1;-0.9;52.0;602.0;44.4;10.6;paris
1905;PARIS-MONTSOURIS;10.2;33.8;-5.0;43.0;731.1;37.9;10.3;paris
1906;PARIS-MONTSOURIS;10.8;34.9;-2.6;51.0;695.8;33.5;10.5;paris
1907;PARIS-MONTSOURIS;10.4;34.4;-7.4;36.0;546.4;64.3;10.5;paris
1908;PARIS-MONTSOURIS;10.1;32.5;-4.9;44.0;574.0;22.1;10.4;paris
1909;PARIS-MONTSOURIS;9.8;32.5;-1.5;24.0;676.0;28.8;10.3;paris
1910;PARIS-MONTSOURIS;10.5;29.7;-2.3;25.0;807.5;25.8;10.3;paris
1911;PARIS-MONTSOURIS;11.6;37.7;-0.4;80.0;505.8;16.9;10.5;paris
1912;PARIS-MONTSOURIS;10.7;34.4;-0.4;25.0;639.5;25.6;10.5;paris
1913;PARIS-MONTSOURIS;11.0;31.2;-2.0;28.0;650.7;30.8;10.7;paris
1914;PARIS-MONTSOURIS;10.8;33.7;-3.8;42.0;618.0;23.0;10.9;paris
1915;PARIS-MONTSOURIS;10.6;33.0;-1.2;42.0;701.4;31.1;10.9;paris
1916;PARIS-MONTSOURIS;10.7;31.8;-0.5;32.0;686.6;25.9;10.8;paris
1917;PARIS-MONTSOURIS;9.6;34.4;-5.0;48.0;618.8;26.9;10.5;paris
1918;PARIS-MONTSOURIS;10.8;36.4;-3.4;48.0;612.0;32.2;10.5;paris
1919;PARIS-MONTSOURIS;10.0;35.2;-3.4;49.0;715.0;20.5;10.3;paris
1920;PARIS-MONTSOURIS;10.8;31.8;-4.9;30.0;539.4;74.1;10.4;paris
1921;PARIS-MONTSOURIS;11.8;37.1;-4.0;63.0;274.4;16.4;10.6;paris
1922;PARIS-MONTSOURIS;10.2;34.8;-1.1;26.0;748.6;33.3;10.7;paris
1923;PARIS-MONTSOURIS;10.9;36.1;-1.2;41.0;702.5;25.1;10.7;paris
1924;PARIS-MONTSOURIS;10.4;32.9;-1.8;29.0;637.5;29.7;10.8;paris
1925;PARIS-MONTSOURIS;10.4;31.6;-4.4;36.0;735.5;29.8;10.7;paris
1926;PARIS-MONTSOURIS;11.2;32.0;-5.4;39.0;617.4;23.8;10.6;paris
1927;PARIS-MONTSOURIS;10.6;30.2;-4.8;23.0;759.3;34.8;10.7;paris
1928;PARIS-MONTSOURIS;11.5;36.3;0.4;51.0;711.8000000000001;30.8;10.8;paris
1929;PARIS-MONTSOURIS;10.7;34.8;-7.8;56.0;473.79999999999995;33.7;10.9;paris
1930;PARIS-MONTSOURIS;11.3;34.2;-0.9;32.0;751.0;28.9;11.1;paris
1931;PARIS-MONTSOURIS;10.5;32.0;-0.8;29.0;797.7;38.5;10.9;paris
1932;PARIS-MONTSOURIS;10.9;35.7;-2.1;53.0;497.1;19.0;11.0;paris
1933;PARIS-MONTSOURIS;11.0;36.2;-4.5;56.0;468.1;21.5;10.9;paris
1934;PARIS-MONTSOURIS;11.7;33.6;-0.7;61.0;576.4;24.5;11.1;paris
1935;PARIS-MONTSOURIS;11.1;33.1;-2.6;44.0;640.3;38.0;11.0;paris
1936;PARIS-MONTSOURIS;11.1;32.4;-1.0;32.0;712.9;47.8;11.2;paris
1937;PARIS-MONTSOURIS;;34.4;-0.6;51.0;761.0;26.6;;paris
1938;PARIS-MONTSOURIS;;33.5;-10.5;43.0;501.79999999999995;36.7;;paris
1939;PARIS-MONTSOURIS;;32.9;-1.4;37.0;756.2;38.7;;paris
1940;PARIS-MONTSOURIS;;32.1;-5.8;41.0;618.3;49.7;;paris
1941;PARIS-MONTSOURIS;;35.3;-5.0;42.0;730.3;36.9;;paris
1942;PARIS-MONTSOURIS;;32.5;-6.2;48.0;828.9;48.1;;paris
1943;PARIS-MONTSOURIS;;36.6;-1.0;49.0;539.0;35.3;;paris
1944;PARIS-MONTSOURIS;;34.8;-0.5;51.0;682.7;42.9;;paris
1945;PARIS-MONTSOURIS;;36.8;-4.7;66.0;456.3;28.1;;paris
1946;PARIS-MONTSOURIS;;36.9;-5.5;34.0;615.6;23.6;;paris
1947;PARIS-MONTSOURIS;;40.4;-6.3;87.0;610.3;39.0;;paris
1948;PARIS-MONTSOURIS;;33.7;-4.8;28.0;634.9;28.7;;paris
1949;PARIS-MONTSOURIS;;33.6;-0.9;61.0;397.3;35.1;;paris
1950;PARIS-MONTSOURIS;11.4;33.6;-4.3;43.0;690.1;40.4;;paris
1951;PARIS-MONTSOURIS;11.1;30.4;1.2;26.0;780.8;55.5;;paris
1952;PARIS-MONTSOURIS;11.1;38.0;-0.6;46.0;716.4;27.1;;paris
1953;PARIS-MONTSOURIS;11.3;34.6;-3.3;43.0;421.1;31.8;;paris
1954;PARIS-MONTSOURIS;10.8;34.3;-7.5;28.0;480.3;16.1;11.1;paris
1955;PARIS-MONTSOURIS;11.0;33.0;-0.1;38.0;679.6999999999999;76.8;11.1;paris
1956;PARIS-MONTSOURIS;10.1;31.1;-8.3;22.0;545.3;27.4;10.9;paris
1957;PARIS-MONTSOURIS;11.5;36.0;-1.0;30.0;547.9;30.1;10.9;paris
1958;PARIS-MONTSOURIS;11.1;31.1;-0.4;32.0;783.2;26.7;10.9;paris
1959;PARIS-MONTSOURIS;12.3;36.4;1.1;76.0;452.9;25.0;11.2;paris
1960;PARIS-MONTSOURIS;11.4;30.5;-4.3;21.0;738.7;57.5;11.3;paris
1961;PARIS-MONTSOURIS;12.2;34.4;-2.7;41.0;538.1;20.3;11.7;paris
1962;PARIS-MONTSOURIS;4.7;32.1;-5.7;27.0;526.1;18.6;10.3;paris
1963;PARIS-MONTSOURIS;4.3;31.0;-4.6;26.0;559.1;30.1;9.0;paris
1964;PARIS-MONTSOURIS;;35.2;-4.0;46.0;523.5;29.9;;paris
1965;PARIS-MONTSOURIS;8.2;30.5;0.2;25.0;879.8;38.7;;paris
1966;PARIS-MONTSOURIS;;32.7;-6.7;30.0;835.4;55.2;;paris
1967;PARIS-MONTSOURIS;8.7;33.0;-2.6;41.0;591.0;30.3;;paris
1968;PARIS-MONTSOURIS;;34.0;-5.1;19.0;632.7;22.5;;paris
1969;PARIS-MONTSOURIS;9.0;32.8;-2.8;49.0;616.2;31.4;;paris
1970;PARIS-MONTSOURIS;6.6;31.2;-2.5;41.0;630.6;24.5;;paris
1971;PARIS-MONTSOURIS;11.9;31.6;-5.0;40.0;508.4;19.3;;paris
1972;PARIS-MONTSOURIS;;30.1;-4.1;15.0;740.0;65.8;;paris
1973;PARIS-MONTSOURIS;3.9;32.7;-1.8;50.0;576.4;53.0;;paris
1974;PARIS-MONTSOURIS;;34.0;1.6;27.0;667.8;27.8;;paris
1975;PARIS-MONTSOURIS;16.9;35.7;-1.2;35.0;657.8;33.3;;paris
1976;PARIS-MONTSOURIS;14.8;35.4;-2.1;65.0;416.70000000000005;24.1;;paris
1977;PARIS-MONTSOURIS;;29.0;0.4;19.0;716.5;42.2;;paris
1978;PARIS-MONTSOURIS;9.2;30.1;-1.4;19.0;742.6;35.8;;paris
1979;PARIS-MONTSOURIS;1.7;32.1;-4.4;26.0;729.0;38.5;;paris
1980;PARIS-MONTSOURIS;;31.3;-2.6;26.0;690.0;31.3;;paris
1981;PARIS-MONTSOURIS;11.5;31.9;1.0;27.0;745.9;38.7;;paris
1982;PARIS-MONTSOURIS;12.1;32.8;-2.0;49.0;700.6;30.1;;paris
1983;PARIS-MONTSOURIS;12.0;33.4;-1.0;64.0;622.6;29.0;;paris
1984;PARIS-MONTSOURIS;11.4;34.8;1.8;35.0;745.3;29.4;;paris
1985;PARIS-MONTSOURIS;10.8;32.0;-10.0;42.0;500.9;23.0;11.6;paris
1986;PARIS-MONTSOURIS;11.0;34.9;-3.6;41.0;611.5;19.7;11.5;paris
1987;PARIS-MONTSOURIS;10.9;33.0;-8.0;39.0;706.8;95.7;11.2;paris
1988;PARIS-MONTSOURIS;12.1;31.1;3.0;31.0;734.3000000000001;46.0;11.2;paris
1989;PARIS-MONTSOURIS;12.6;33.0;0.1;68.0;596.1;39.4;11.5;paris
1990;PARIS-MONTSOURIS;12.9;36.6;1.4;58.0;500.70000000000005;37.4;11.9;paris
1991;PARIS-MONTSOURIS;11.5;34.5;-6.2;49.0;471.5;25.8;12.0;paris
1992;PARIS-MONTSOURIS;12.1;35.9;-0.3;49.0;645.1;68.2;12.2;paris
1993;PARIS-MONTSOURIS;11.6;31.6;-2.6;38.0;655.8;38.8;12.1;paris
1994;PARIS-MONTSOURIS;12.8;35.3;-0.3;49.0;693.5;33.4;12.2;paris
1995;PARIS-MONTSOURIS;12.6;36.4;-0.9;57.0;670.1;82.0;12.1;paris
1996;PARIS-MONTSOURIS;11.2;34.1;-4.4;47.0;449.9;24.4;12.1;paris
1997;PARIS-MONTSOURIS;11.6;34.4;-7.0;64.0;666.5;50.6;12.0;paris
1998;PARIS-MONTSOURIS;12.4;37.3;-1.1;49.0;672.0;32.4;12.1;paris
1999;PARIS-MONTSOURIS;13.7;33.0;2.0;62.0;745.6;26.2;12.3;paris
2000;PARIS-MONTSOURIS;11.7;33.0;-0.1;51.0;900.8;47.0;12.1;paris
2001;PARIS-MONTSOURIS;12.3;35.2;0.1;53.0;836.1;104.2;12.3;paris
2002;PARIS-MONTSOURIS;12.5;34.8;-0.6;28.0;684.4;26.6;12.5;paris
2003;PARIS-MONTSOURIS;13.0;39.5;-5.0;82.0;457.1;26.4;12.6;paris
2004;PARIS-MONTSOURIS;11.8;33.5;-0.8;53.0;547.4;25.8;12.3;paris
2005;PARIS-MONTSOURIS;12.5;34.3;-0.2;52.0;448.0;21.6;12.4;paris
2006;PARIS-MONTSOURIS;12.7;37.4;-2.7;59.0;634.4;20.4;12.5;paris
2007;PARIS-MONTSOURIS;12.7;33.3;0.2;35.0;690.3;44.8;12.5;paris
2008;PARIS-MONTSOURIS;12.2;34.0;0.9;42.0;582.5;30.6;12.4;paris
2009;PARIS-MONTSOURIS;12.4;35.6;-3.9;52.0;558.9;24.8;12.5;paris
2010;PARIS-MONTSOURIS;11.5;35.1;-2.0;51.0;640.0;43.1;12.3;paris
2011;PARIS-MONTSOURIS;13.4;36.8;-0.3;59.0;525.6;24.7;12.4;paris
2012;PARIS-MONTSOURIS;12.4;38.4;-2.7;52.0;622.5;23.9;12.4;paris
2013;PARIS-MONTSOURIS;11.9;35.5;-1.6;55.0;616.3;27.4;12.3;paris
2014;PARIS-MONTSOURIS;13.3;35.8;0.5;46.0;716.2;29.1;12.5;paris
2015;PARIS-MONTSOURIS;13.2;39.7;1.8;59.0;506.5;31.1;12.8;paris
2016;PARIS-MONTSOURIS;12.5;36.6;-2.4;58.0;657.8;52.9;12.7;paris
2017;PARIS-MONTSOURIS;13.0;36.9;0.5;61.0;739.1;67.7;12.8;paris
2018;PARIS-MONTSOURIS;13.5;37.4;-1.5;98.0;688.2;78.2;13.1;paris
2019;PARIS-MONTSOURIS;13.4;42.6;1.9;70.0;666.6;43.8;13.1;paris
2020;PARIS-MONTSOURIS;14.0;39.3;4.0;82.0;643.9;35.6;13.3;paris
2021;PARIS-MONTSOURIS;12.5;33.3;-0.6;51.0;727.4;43.3;13.3;paris
2022;PARIS-MONTSOURIS;14.0;40.5;-0.4;88.0;543.4;47.0;13.5;paris
2023;PARIS-MONTSOURIS;13.9;35.5;2.0;86.0;739.0;48.1;13.6;paris
2024;PARIS-MONTSOURIS;13.2;37.1;-1.2;54.0;901.1;70.8;13.5;paris
2025;PARIS-MONTSOURIS;13.5;38.1;0.3;73.0;581.7;30.9;13.4;paris
1944;LILLE-LESQUIN;;11.4;0.1;0.0;0.0;;;lille
1945;LILLE-LESQUIN;;34.4;-7.0;36.0;604.4;46.8;;lille
1946;LILLE-LESQUIN;;31.6;-6.8;15.0;673.5;31.6;;lille
1947;LILLE-LESQUIN;;35.6;-5.2;72.0;462.1;28.2;;lille
1948;LILLE-LESQUIN;;33.5;-5.3;21.0;631.3;34.2;;lille
1949;LILLE-LESQUIN;10.4;34.2;0.2;44.0;450.8;23.8;;lille
1950;LILLE-LESQUIN;9.8;31.1;-8.4;23.0;737.1;20.3;;lille
1951;LILLE-LESQUIN;9.9;28.2;0.8;13.0;827.2;48.6;;lille
1952;LILLE-LESQUIN;9.5;35.7;-1.4;24.0;747.2;30.9;;lille
1953;LILLE-LESQUIN;9.9;33.0;-2.3;19.0;478.3;28.7;9.9;lille
1954;LILLE-LESQUIN;9.5;31.3;-7.1;15.0;595.3;25.9;9.7;lille
